id_deputado,nome,salario_mandato
210989,Bruno Farias,1809065.5699999998
220635,Bruno Ganem,1809065.5699999998
220574,Cabo Gilberto Silva,1809065.5699999998
143942,Caio Vianna,1809065.5699999998
220548,Camila Jara,1809065.5699999998
204572,Capitão Alberto Neto,1809065.5699999998
220690,Capitão Alden,1809065.5699999998
178829,Capitão Augusto,1809065.5699999998
213762,Carla Dickson,1809065.5699999998
204361,Carlos Chiodini,1809065.5699999998
178962,Carlos Gomes,1809065.5699999998
178993,Carlos Henrique Gaguim,1809065.5699999998
204460,Carlos Jordy,1809065.5699999998
74262,Carlos Sampaio,1809065.5699999998
204426,Carlos Veras,1809065.5699999998
141398,Carlos Zarattini,1809065.5699999998
220704,Carol Dartora,1809065.5699999998
204369,Caroline de Toni,1809065.5699999998
220699,Castro Neto,1809065.5699999998
206018,Célia Xakriabá,1809065.5699999998
178876,Célio Silveira,1809065.5699999998
204488,Célio Studart,1809065.5699999998
73441,Celso Russomanno,1809065.5699999998
204496,Celso Sabino,1809065.5699999998
204504,Cezinha de Madureira,1809065.5699999998
205476,Charles Fernandes,1809065.5699999998
74171,Chico Alencar,1809065.5699999998
204462,Chris Tonietto,1809065.5699999998
220665,Clarissa Tércio,1809065.5699999998
74537,Claudio Cajado,1809065.5699999998
141408,Cleber Verde,1809065.5699999998
88256,Clodoaldo Magalhães,1809065.5699999998
98148,Cobalchini,1809065.5699999998
220594,Coronel Assis,1809065.5699999998
204378,Coronel Chrisóstomo,1809065.5699999998
220595,Coronel Fernanda,1809065.5699999998
220666,Coronel Meira,1809065.5699999998
220590,Coronel Ulysses,1809065.5699999998
178963,Covatti Filho,1809065.5699999998
220608,Cristiane Lopes,1809065.5699999998
234840,Cristiano Furlan,1809065.5699999998
204355,Da Vitoria,1809065.5699999998
141411,Dagoberto Nogueira,1809065.5699999998
220555,Daiana Santos,1809065.5699999998
220692,Dal Barreto,1809065.5699999998
74467,Damião Feliciano,1809065.5699999998
220629,Dandara,1809065.5699999998
220603,Dani Cunha,1809065.5699999998
220571,Daniel Agrobom,1809065.5699999998
74060,Daniel Almeida,1809065.5699999998
220582,Daniel Barbosa,1809065.5699999998
204367,Daniel Freitas,1809065.5699999998
204409,Daniel Trzeciak,1809065.5699999998
204459,Daniela do Waguinho,1809065.5699999998
220557,Daniela Reinehr,1809065.5699999998
62881,Danilo Forte,1809065.5699999998
160552,Danrlei de Deus Hinterholz,1809065.5699999998
204511,David Soares,1809065.5699999998
220539,Defensor Stélio Dener,1809065.5699999998
220565,Delegada Adriana Accorsi,1809065.5699999998
220625,Delegada Ione,1809065.5699999998
220561,Delegada Katarina,1809065.5699999998
220642,Delegado Bruno Lima,1809065.5699999998
220673,Delegado Caveira,1809065.5699999998
220649,Delegado da Cunha,1809065.5699999998
178908,Delegado Éder Mauro,1809065.5699999998
220583,Delegado Fabio Costa,1809065.5699999998
204512,Delegado Marcelo Freitas,1809065.5699999998
220701,Delegado Matheus Laiola,1809065.5699999998
220652,Delegado Palumbo,1809065.5699999998
220654,Delegado Paulo Bilynskyj,1809065.5699999998
220553,Denise Pessôa,1809065.5699999998
160588,Diego Andrade,1809065.5699999998
220691,Diego Coronel,1809065.5699999998
178929,Diego Garcia,1809065.5699999998
73768,Dilceu Sperafico,1809065.5699999998
220671,Dilvanda Faro,1809065.5699999998
160599,Dimas Fabiano,1809065.5699999998
220602,Dimas Gadelha,1809065.5699999998
143632,Domingos Neto,1809065.5699999998
160758,Domingos Sávio,1809065.5699999998
220573,Dorinaldo Malafaia,1809065.5699999998
227433,Douglas Viegas,1809065.5699999998
204450,Doutor Luizinho,1809065.5699999998
227991,Dr Flávio,1809065.5699999998
220610,Dr. Fernando Máximo,1809065.5699999998
220688,Dr. Francisco,1809065.5699999998
204518,Dr. Frederico,1809065.5699999998
220570,Dr. Ismael Alexandrino,1809065.5699999998
204481,Dr. Jaziel,1809065.5699999998
204351,Dr. Luiz Ovando,1809065.5699999998
220528,Dr. Victor Linhalis,1809065.5699999998
204412,Dr. Zacharias Calil,1809065.5699999998
220674,Dra. Alessandra Haber,1809065.5699999998
220686,Duarte Jr.,1809065.5699999998
220540,Duda Ramos,1809065.5699999998
220623,Duda Salabert,1809065.5699999998
141421,Eduardo da Fonte,1809065.5699999998
220589,Eduardo Velloso,1809065.5699999998
