ideCadastro,txNomeParlamentar,sgPartido,sgUF,vlrLiquido
178933,Sergio Souza,MDB,PR,582264.14
92699,Fernando Monteiro,PSD,PE,582240.8399999999
92102,Leur Lomanto Júnior,UNIÃO,BA,582205.85
204453,Natália Bonavides,PT,RN,581748.1999999967
220685,Paulo Litro,PSD,PR,581113.3800000002
160665,Augusto Coutinho,REPUBLICANOS,PE,581017.0000000003
104552,Socorro Neri,PP,AC,580310.67
66828,Fausto Pinato,PP,SP,580149.6500000004
74574,Paulo Magalhães,PSD,BA,580137.9999999992
180214,Pastor Diniz,UNIÃO,RR,579514.0500000002
220712,Fausto Jr.,UNIÃO,AM,578533.3899999999
220542,Alexandre Guimarães,MDB,TO,578293.47
162067,Kiko Celeguim,PT,SP,578183.3999999994
178908,Delegado Éder Mauro,PL,PA,578053.72
88256,Clodoaldo Magalhães,PV,PE,577891.9899999998
204445,Fernando Mineiro,PT,RN,577776.5599999998
226837,Saulo Pedroso,PSD,SP,577391.2999999998
220555,Daiana Santos,PCdoB,RS,577287.7400000001
157130,Túlio Gadêlha,REDE,PE,577023.5900000002
74467,Damião Feliciano,UNIÃO,PB,576678.0899999999
178829,Capitão Augusto,PL,SP,575919.1100000002
220612,Bebeto,PP,RJ,575785.6400000004
220557,Daniela Reinehr,PL,SC,575089.8100000004
178966,Geovania de Sá,PSDB,SC,574836.1100000005
220664,Guilherme Uchoa,PSB,PE,574821.8999999998
136811,Afonso Hamm,PP,RS,574532.15
220703,Neto Carletto,AVANTE,BA,573722.07
220621,Sargento Gonçalves,PL,RN,573696.6299999998
204396,Vermelho,PP,PR,573184.7
139285,Lídice da Mata,PSB,BA,572815.2799999992
204512,Delegado Marcelo Freitas,UNIÃO,MG,572646.8099999999
224333,Welter,PT,PR,571910.0400000009
204409,Daniel Trzeciak,PSDB,RS,571743.4400000001
204410,Luisa Canziani,PSD,PR,571339.5000000002
204449,Nelson Barbudo,PL,MT,571304.0900000001
220556,Ana Paula Lima,PT,SC,570917.0299999991
74400,Paulo Pimenta,PT,RS,570878.26
221328,Adilson Barroso,PL,SP,570008.32
204534,Tabata Amaral,PSB,SP,569102.2999999995
220677,Keniston Braga,MDB,PA,569081.0899999999
204351,Dr. Luiz Ovando,PP,MS,568695.0699999998
74550,João Leão,PP,BA,568004.1600000005
74270,Gilberto Nascimento,PSD,SP,567908.1100000001
230957,João Cury,MDB,SP,567822.5300000003
204416,Sanderson,PL,RS,567779.8500000002
220545,Filipe Martins,PL,TO,567754.2399999999
204518,Dr. Frederico,PRD,MG,567458.81
178860,Paulo Azi,UNIÃO,BA,567450.4299999997
220684,Tião Medeiros,PP,PR,566761.0200000011
204408,Gustinho Ribeiro,REPUBLICANOS,SE,566389.6199999996
204356,Amaro Neto,REPUBLICANOS,ES,565829.4500000001
204394,Gervásio Maia,PSB,PB,565707.7699999997
220618,Sargento Portugal,PODE,RJ,565611.4099999999
74383,Giacobo,PL,PR,565420.9900000002
204472,José Medeiros,PL,MT,565240.4199999999
220606,Reimont,PT,RJ,565102.96
178992,Vitor Lippi,PSDB,SP,564019.0100000002
141398,Carlos Zarattini,PT,SP,563665.3899999997
160604,Pedro Uczai,PT,SC,563176.6600000005
80815,Leo Prates,PDT,BA,563104.5499999997
178843,Marx Beltrão,PP,AL,563018.1799999999
178929,Diego Garcia,REPUBLICANOS,PR,562492.7800000004
160610,Valmir Assunção,PT,BA,561982.4700000001
74171,Chico Alencar,PSOL,RJ,561614.3399999997
220567,Jeferson Rodrigues,REPUBLICANOS,GO,561396.1399999999
220599,Marcelo Crivella,REPUBLICANOS,RJ,561158.6999999998
178871,Evair Vieira de Melo,PP,ES,561015.3500000001
204460,Carlos Jordy,PL,RJ,560137.0599999997
220702,Geraldo Mendes,UNIÃO,PR,559912.76
220603,Dani Cunha,UNIÃO,RJ,559611.8200000001
74273,Jefferson Campos,PL,SP,559448.1300000002
178887,Rubens Pereira Júnior,PT,MA,558423.6900000001
160527,Aguinaldo Ribeiro,PP,PB,557389.34
220641,Rodrigo Gambale,PODE,SP,557385.8499999997
220561,Delegada Katarina,PSD,SE,557012.2300000006
160632,Zé Silva,SOLIDARIEDADE,MG,556885.6700000002
220625,Delegada Ione,AVANTE,MG,556735.8300000008
220547,Marcos Pollon,PL,MS,555811.6000000001
220620,Rosângela Reis,PL,MG,555629.44
178895,Misael Varella,PSD,MG,555577.5599999998
74084,Raimundo Santos,PSD,PA,554884.8700000002
121948,Adriano do Baldy,PP,GO,554613.0700000034
220687,Márcio Honaiser,PDT,MA,554506.8500000006
204567,Raimundo Costa,PODE,BA,554454.0900000008
204559,Zé Neto,PT,BA,554452.9799999995
220666,Coronel Meira,PL,PE,553933.0700000002
74428,Mendonça Filho,UNIÃO,PE,553749.19
226708,Allan Garcês,PP,MA,553465.29
73531,Ivan Valente,PSOL,SP,553287.6099999999
74156,Leonardo Monteiro,PT,MG,553221.8399999995
